customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8270-['T' 'O' 'K' 'H' 'U'],Male,1,Yes,Yes,22,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),79.62,1746.65,No
6734-['Z' 'S' 'W' 'K' 'K'],Male,0,No,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,30.29,1335.8,No
9322-['V' 'U' 'B' 'X' 'L'],Male,0,Yes,Yes,61,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),98.24,5996.53,Yes
7949-['B' 'U' 'A' 'L' 'Z'],Female,0,No,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.53,1931.79,Yes
7396-['L' 'Y' 'Q' 'J' 'P'],Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.46,414.63,No
1189-['O' 'S' 'L' 'W' 'T'],Female,0,No,Yes,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.27,1362.64,No
2528-['C' 'E' 'S' 'G' 'U'],Female,0,Yes,Yes,63,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,87.77,5527.2,No
6393-['D' 'Y' 'N' 'R' 'Z'],Male,0,Yes,No,45,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,70.4,3172.99,No
8513-['U' 'B' 'T' 'O' 'G'],Female,0,No,Yes,55,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,83.44,4590.1,Yes
1775-['O' 'C' 'N' 'Q' 'D'],Male,0,Yes,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),31.93,1374.8,No
2585-['H' 'D' 'B' 'F' 'V'],Female,0,No,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),97.25,2724.82,Yes
4843-['V' 'R' 'Z' 'L' 'B'],Female,0,No,Yes,61,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),61.3,3742.75,No
5297-['D' 'N' 'P' 'O' 'H'],Female,1,Yes,Yes,51,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,97.37,4960.97,Yes
8629-['W' 'Y' 'H' 'U' 'P'],Male,0,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),88.4,4682.4,Yes
8916-['R' 'O' 'U' 'X' 'Z'],Male,0,Yes,Yes,56,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,80.06,4485.02,No
5859-['M' 'I' 'O' 'M' 'A'],Male,0,Yes,Yes,65,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,57.43,3736.9,No
9006-['I' 'X' 'A' 'L' 'H'],Male,0,No,No,21,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Mailed check,73.99,1555.64,No
6258-['S' 'Q' 'H' 'C' 'C'],Male,0,Yes,Yes,19,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,77.76,1476.57,No
6892-['J' 'G' 'Z' 'I' 'G'],Female,0,Yes,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),32.73,1045.98,No
9392-['H' 'L' 'B' 'A' 'P'],Male,0,No,Yes,71,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.88,5602.86,Yes
3454-['X' 'E' 'C' 'L' 'H'],Male,0,No,No,24,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,72.41,1740.25,Yes
9154-['C' 'A' 'C' 'E' 'O'],Male,0,No,Yes,45,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),88.37,3977.72,No
4840-['E' 'Z' 'W' 'N' 'G'],Male,0,No,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),88.15,6344.71,No
7938-['I' 'O' 'O' 'Z' 'J'],Female,0,Yes,Yes,56,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),76.11,4266.41,No
8035-['M' 'S' 'G' 'Q' 'T'],Male,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.04,124.68,No
6116-['D' 'E' 'W' 'G' 'M'],Female,0,No,No,54,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),83.27,4499.48,No
2678-['K' 'D' 'M' 'G' 'S'],Female,0,No,No,60,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Mailed check,71.33,4276.94,No
4157-['B' 'J' 'M' 'Y' 'U'],Female,0,Yes,No,7,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,107.73,752.55,Yes
3693-['L' 'L' 'T' 'K' 'Z'],Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.99,1428.6,No
6592-['G' 'A' 'A' 'Y' 'Y'],Female,0,Yes,Yes,47,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),84.28,3956.66,No
6864-['C' 'G' 'F' 'H' 'I'],Male,0,Yes,Yes,60,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),88.07,5284.32,No
5413-['E' 'A' 'S' 'J' 'L'],Male,0,Yes,No,14,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,87.96,1231.26,Yes
1663-['O' 'V' 'X' 'I' 'T'],Male,0,No,Yes,64,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),72.37,4634.19,No
6232-['Q' 'Z' 'T' 'L' 'G'],Male,1,No,Yes,21,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),83.76,1756.78,Yes
8554-['Q' 'E' 'Q' 'X' 'Q'],Male,0,No,No,2,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Mailed check,96.39,189.97,No
1698-['Q' 'B' 'B' 'V' 'W'],Female,0,No,Yes,53,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,66.68,3538.3,No
